family,model,base_variant,hier_variant,base_accuracy,hier_accuracy,delta_accuracy,base_f1_macro,hier_f1_macro,delta_f1_macro,base_f1_micro,hier_f1_micro,delta_f1_micro,base_f1_weighted,hier_f1_weighted,delta_f1_weighted
ML,pa,base,hier_fusion,0.7911481900452488,0.7929864253393665,0.0018382352941176405,0.7796380755907417,0.7833818141473317,0.0037437385565899373,0.7911481900452488,0.7929864253393665,0.0018382352941176405,0.7883690136877711,0.7899954374221799,0.0016264237344087995
ML,sgd,base,hier_fusion,0.8033088235294118,0.8042986425339367,0.0009898190045248834,0.7856634455880952,0.7866131627658399,0.0009497171777447244,0.8033088235294118,0.8042986425339367,0.0009898190045248834,0.8005606491117906,0.8013682572347255,0.0008076081229348997
ML,svm,base,hier_fusion_opt,0.7921380090497737,0.7965214932126696,0.004383484162895912,0.7828809853255058,0.7823313109037232,-0.0005496744217825533,0.7921380090497737,0.7965214932126696,0.004383484162895912,0.7900532700965568,0.7944841331002159,0.004430863003659136
DL,fc,flat,hier_fusion,0.8293269230769231,0.8294683257918553,0.0001414027149321262,0.7941248473205361,0.7950239944851085,0.0008991471645724003,0.8293269230769231,0.8294683257918553,0.0001414027149321262,0.82412722303859,0.8244037031911308,0.0002764801525407812
DL,rcnn,flat,hier_fusion_opt,0.8125,0.8154694570135747,0.00296945701357465,0.7509470331337638,0.7596828940890391,0.008735860955275343,0.8125,0.8154694570135747,0.00296945701357465,0.8044013095144461,0.8086262084688882,0.004224898954442113
